Time Detect LP,Time Detect Face,Total
0.083,2.865,2.948
0.08,2.84,2.92
0.087,2.869,2.957
0.087,2.892,2.98
0.083,2.817,2.901
0.08,2.784,2.864
0.081,2.846,2.927
0.083,2.889,2.971
0.081,2.788,2.87
0.082,2.791,2.873
0.09,2.814,2.904
0.089,2.847,2.936
0.082,2.83,2.912
0.087,2.771,2.859
0.082,2.797,2.879
0.082,2.787,2.869
0.083,2.755,2.838
0.083,2.786,2.869
0.153,2.797,2.95
0.083,2.8,2.883
0.083,2.813,2.896
0.083,2.814,2.897
0.081,2.832,2.913
0.084,2.805,2.889
0.084,2.813,2.897
0.086,2.782,2.868
0.084,2.795,2.88
0.083,2.783,2.866
0.083,2.821,2.904
0.084,2.767,2.851
0.084,2.769,2.853
0.086,2.759,2.845
0.084,2.753,2.837
0.085,2.745,2.83
0.085,2.732,2.816
0.084,2.801,2.886
0.081,2.748,2.829
0.085,2.804,2.889
0.084,2.785,2.869
0.086,2.789,2.875
0.084,2.807,2.891
0.157,2.771,2.928
0.085,2.776,2.861
0.083,2.773,2.856
0.09,2.83,2.92
0.086,2.786,2.872
0.085,2.827,2.912
0.087,2.837,2.923
0.088,2.781,2.869
0.092,2.811,2.902
0.083,2.778,2.861
0.085,2.788,2.872
0.085,2.778,2.863
0.084,2.764,2.848
0.093,2.775,2.868
0.087,2.84,2.927
0.086,2.821,2.906
0.084,2.791,2.875
0.086,2.763,2.848
0.084,2.814,2.898
0.094,2.765,2.859
0.087,2.776,2.863
0.086,2.783,2.869
0.086,2.786,2.871
0.085,2.773,2.858
0.087,2.784,2.871
0.084,2.806,2.89
0.094,2.761,2.855
0.084,2.815,2.898
0.086,2.815,2.901
0.086,2.792,2.879
0.086,2.796,2.883
0.086,2.859,2.946
0.087,2.791,2.878
0.085,2.801,2.885
0.089,2.837,2.926
0.094,2.789,2.883
0.089,2.814,2.902
0.095,2.774,2.869
0.086,2.78,2.866
0.086,2.801,2.887
0.086,2.775,2.862
0.089,2.763,2.851
0.085,2.779,2.865
0.086,2.79,2.876
0.085,2.816,2.901
0.084,2.774,2.859
0.087,2.791,2.877
0.086,2.788,2.874
0.091,2.797,2.888
0.087,2.784,2.871
0.088,2.813,2.9
0.088,2.793,2.882
0.087,2.789,2.877
0.087,2.812,2.899
0.087,2.765,2.852
0.086,2.746,2.832
0.087,2.827,2.914
0.09,3.002,3.092
0.091,2.978,3.069
0.094,3.011,3.105
0.087,2.766,2.853
0.086,2.746,2.832
0.086,2.762,2.848
0.086,2.762,2.848
0.088,2.718,2.805
0.086,2.766,2.852
0.085,2.776,2.861
0.089,2.807,2.896
0.087,2.783,2.87
0.092,2.765,2.857
0.094,2.78,2.874
0.09,2.813,2.902
0.086,2.784,2.87
0.087,2.72,2.806
0.085,2.773,2.858
0.085,2.723,2.808
0.092,2.784,2.875
0.087,2.754,2.841
0.086,2.784,2.87
0.086,2.78,2.867
0.088,2.753,2.841
0.094,2.774,2.868
0.085,2.774,2.859
0.087,2.721,2.808
0.087,2.757,2.844
0.093,2.752,2.845
0.087,2.785,2.872
0.089,2.744,2.832
0.086,2.768,2.854
0.085,2.799,2.884
0.085,2.752,2.837
0.085,2.807,2.892
0.088,2.725,2.813
0.087,2.798,2.885
0.085,2.774,2.859
0.087,2.816,2.903
0.09,2.758,2.848
0.086,2.746,2.832
0.088,2.758,2.846
0.086,2.758,2.845
0.087,2.787,2.874
0.088,2.788,2.877
0.087,2.782,2.869
0.087,2.75,2.837
0.086,2.774,2.86
0.086,2.779,2.866
0.094,2.782,2.875
0.088,2.75,2.838
0.095,2.748,2.843
0.089,2.771,2.859
0.089,2.783,2.872
0.088,2.776,2.864
0.086,2.798,2.884
0.088,2.807,2.895
0.088,2.805,2.894
0.086,2.787,2.873
0.086,2.822,2.908
0.094,2.762,2.856
0.093,2.764,2.857
0.087,2.779,2.865
0.087,2.74,2.827
0.087,2.813,2.9
0.088,2.772,2.86
0.087,2.775,2.862
0.089,2.793,2.882
0.094,2.799,2.893
0.091,2.764,2.855
0.089,2.803,2.892
0.088,2.774,2.862
0.088,2.738,2.826
0.088,2.776,2.864
0.162,2.764,2.926
0.091,2.82,2.911
0.094,2.806,2.899
0.087,2.746,2.833
0.089,2.82,2.909
0.089,2.74,2.829
0.095,2.792,2.887
0.089,2.766,2.855
0.088,2.767,2.855
0.093,2.796,2.888
0.089,2.79,2.879
0.095,2.782,2.877
0.09,2.78,2.87
0.089,2.773,2.862
0.088,2.783,2.871
0.088,2.783,2.87
0.09,2.777,2.867
0.088,2.778,2.866
0.089,2.786,2.876
0.087,2.832,2.919
0.087,2.805,2.892
0.09,2.768,2.858
0.091,2.781,2.872
0.089,2.788,2.877
0.09,2.77,2.86
0.09,2.775,2.865
0.088,2.807,2.895
0.089,2.807,2.896
0.087,2.661,2.749
0.085,2.701,2.787
0.095,2.707,2.801
0.088,2.702,2.791
0.088,2.694,2.782
0.091,2.671,2.762
0.1,2.497,2.598
0.101,2.627,2.728
0.105,2.665,2.771
0.109,2.697,2.806
0.103,2.679,2.782
0.104,2.643,2.747
0.111,2.678,2.789
0.104,2.715,2.819
0.102,2.705,2.807
0.103,2.693,2.796
0.105,2.653,2.758
0.115,2.662,2.776
0.103,2.647,2.75
0.111,2.698,2.809
0.105,2.625,2.73
0.112,2.734,2.846
0.103,2.649,2.752
0.105,2.694,2.799
0.105,2.703,2.808
0.113,2.745,2.858
0.107,2.726,2.833
0.11,2.706,2.816
0.109,2.471,2.58
0.105,2.902,3.007
0.109,3.134,3.243
0.225,2.916,3.141
0.108,2.851,2.959
0.107,3.018,3.124
0.109,2.955,3.064
0.112,2.884,2.996
0.107,2.697,2.804
0.107,2.702,2.809
0.106,2.654,2.759
0.105,2.642,2.746
0.109,2.69,2.799
0.107,2.68,2.787
0.109,3.045,3.154
0.11,2.611,2.722
0.107,2.684,2.791
0.118,2.716,2.834
0.11,2.676,2.785
0.107,2.634,2.741
0.105,2.717,2.822
0.108,2.688,2.796
0.108,2.69,2.798
0.107,2.663,2.77
0.115,2.66,2.775
0.109,2.619,2.728
0.106,2.654,2.759
0.107,2.645,2.752
0.109,2.654,2.763
0.107,2.678,2.785
0.108,2.63,2.738
0.108,2.63,2.738
0.109,2.6,2.709
0.106,2.639,2.745
0.108,2.631,2.739
0.108,2.688,2.796
0.109,2.626,2.735
0.108,2.65,2.758
0.107,2.622,2.729
0.115,2.61,2.725
0.114,2.628,2.742
0.107,2.652,2.759
0.107,2.441,2.547
0.108,2.636,2.744
0.109,2.676,2.785
0.111,2.594,2.705
0.109,2.619,2.727
0.107,2.619,2.726
0.107,2.668,2.775
0.108,2.636,2.744
0.108,2.639,2.747
0.107,2.645,2.752
0.112,2.62,2.732
0.106,2.64,2.746
0.115,2.637,2.752
0.109,2.634,2.743
0.11,2.655,2.765
0.108,2.656,2.764
0.111,2.688,2.799
0.108,2.631,2.739
0.111,2.609,2.72
0.11,2.642,2.752
0.108,2.666,2.774
0.108,2.688,2.795
0.108,2.664,2.772
0.111,2.682,2.792
0.108,2.648,2.756
0.109,2.65,2.759
0.107,2.679,2.786
0.12,2.895,3.015
0.11,2.652,2.762
0.112,2.847,2.959
0.136,3.211,3.347
0.131,2.971,3.102
0.119,3.105,3.224
0.12,3.012,3.132
0.114,3.014,3.127
0.223,3.235,3.457
0.122,3.219,3.341
0.123,2.923,3.046
0.113,2.808,2.921
0.11,2.671,2.781
0.11,2.726,2.837
0.112,2.745,2.857
0.118,2.859,2.977
0.113,3.006,3.118
0.109,2.809,2.919
0.121,2.757,2.878
0.111,3.174,3.285
0.132,2.449,2.581
0.113,2.795,2.908
0.117,2.626,2.744
0.108,2.663,2.771
0.114,2.671,2.785
0.108,2.704,2.812
0.114,2.688,2.802
0.108,2.664,2.772
0.111,3.125,3.236
0.112,2.871,2.983
0.113,3.158,3.271
0.113,2.798,2.911
0.111,2.694,2.805
0.114,2.627,2.741
0.113,2.607,2.72
0.112,2.608,2.719
0.112,2.637,2.749
0.11,2.599,2.709
0.108,2.639,2.746
0.109,2.652,2.761
0.115,2.702,2.817
0.11,2.682,2.792
0.109,2.647,2.757
0.11,2.693,2.803
0.117,2.651,2.767
0.109,2.617,2.726
0.107,2.649,2.756
0.109,2.619,2.727
0.109,2.671,2.78
0.112,2.604,2.717
0.108,2.68,2.788
0.112,2.686,2.797
0.11,2.633,2.743
0.11,2.628,2.737
0.108,2.643,2.752
0.116,2.648,2.765
0.117,2.628,2.745
0.113,2.64,2.753
0.11,2.636,2.746
0.112,2.665,2.777
0.113,2.648,2.761
0.11,2.649,2.759
0.11,2.612,2.722
0.11,2.626,2.736
0.111,2.637,2.748
0.116,2.639,2.754
0.111,2.625,2.735
0.118,2.658,2.775
0.11,2.668,2.778
0.11,2.599,2.71
0.108,2.61,2.718
0.117,2.613,2.731
0.112,2.65,2.763
0.117,2.643,2.76
0.118,2.701,2.82
0.11,2.625,2.735
0.117,2.644,2.761
0.111,2.636,2.747
0.11,2.669,2.779
0.11,2.618,2.728
0.12,2.642,2.762
0.119,2.617,2.736
0.113,2.608,2.721
0.109,2.602,2.711
0.114,2.617,2.73
0.113,2.625,2.738
0.112,2.66,2.772
0.119,2.636,2.755
0.109,2.656,2.765
0.111,2.645,2.756
0.111,2.657,2.768
0.11,2.589,2.699
0.109,2.594,2.703
0.109,2.588,2.697
0.117,2.645,2.762
0.114,2.625,2.738
0.109,2.677,2.787
0.111,2.621,2.732
0.11,2.672,2.782
0.113,2.634,2.747
0.11,2.639,2.749
0.112,2.649,2.761
0.118,2.642,2.76
0.098,3.221,3.319
0.092,2.97,3.063
0.093,2.948,3.041
0.095,2.774,2.869
0.093,3.627,3.72
0.093,3.013,3.106
0.101,3.367,3.468
0.095,3.788,3.882
0.1,2.803,2.903
0.095,2.777,2.872
0.096,3.63,3.725
0.095,3.037,3.132
0.097,2.984,3.08
0.095,3.396,3.491
0.095,3.407,3.502
0.095,3.374,3.469
0.095,2.953,3.048
0.096,2.997,3.093
0.095,3.168,3.264
0.097,2.763,2.86
0.097,2.796,2.893
0.102,3.17,3.272
0.095,2.95,3.044
0.1,2.812,2.911
0.103,3.191,3.294
0.098,2.952,3.05
0.106,2.789,2.894
0.095,2.774,2.87
0.096,3.169,3.264
0.104,2.978,3.082
0.097,3.396,3.493
0.095,3.42,3.515
0.096,2.789,2.885
0.097,2.976,3.073
0.099,2.986,3.084
0.094,2.959,3.053
0.096,2.791,2.886
0.104,2.767,2.871
0.1,2.765,2.865
0.105,3.004,3.108
0.105,2.99,3.096
0.097,2.994,3.091
0.095,2.805,2.9
0.097,3.372,3.469
0.098,2.785,2.883
0.101,3.159,3.259
0.098,3.754,3.852
0.096,2.896,2.992
0.097,2.9,2.998
0.095,2.97,3.065
0.096,3.544,3.64
0.096,3.337,3.433
0.095,3.374,3.469
0.096,3.153,3.249
0.105,3.961,4.066
0.097,2.968,3.065
0.1,2.758,2.857
0.099,2.941,3.04
0.097,2.955,3.052
0.097,2.965,3.063
0.099,2.73,2.829
0.098,2.759,2.857
0.098,2.748,2.845
0.1,2.768,2.868
0.098,2.814,2.911
0.099,2.765,2.863
0.106,2.767,2.873
0.099,3.188,3.287
0.097,2.993,3.09
0.099,3.124,3.223
0.095,2.777,2.872
0.097,2.737,2.835
0.097,2.961,3.058
0.098,2.83,2.928
0.1,2.789,2.888
0.1,3.342,3.442
0.098,3.325,3.423
0.098,2.78,2.878
0.098,2.768,2.866
0.098,2.786,2.884
0.107,2.753,2.86
0.098,3.195,3.292
0.099,3.166,3.265
0.107,2.786,2.893
0.108,2.776,2.884
0.1,2.773,2.872
0.098,2.981,3.079
0.101,2.78,2.881
0.099,3.219,3.318
0.098,2.77,2.868
0.106,2.977,3.083
0.1,2.763,2.862
0.097,3.014,3.11
0.107,2.804,2.91
0.097,3.186,3.283
0.098,3.131,3.229
0.102,2.996,3.099
0.1,3.383,3.483
0.1,2.76,2.86
0.102,2.778,2.88
0.098,2.947,3.045
0.102,2.787,2.89
0.099,2.834,2.933
0.105,3.015,3.12
0.101,2.807,2.908
0.101,2.95,3.051
0.098,2.932,3.03
0.097,2.795,2.892
0.101,2.985,3.086
0.096,2.779,2.875
0.106,3.394,3.5
0.099,3.354,3.454
0.102,3.133,3.234
0.106,2.967,3.073
0.098,2.994,3.091
0.101,3.202,3.303
0.099,3.168,3.267
0.107,3.383,3.49
0.101,3.168,3.269
0.101,3.14,3.24
0.099,3.142,3.241
0.099,2.951,3.05
0.099,3.595,3.694
0.097,3.157,3.254
0.1,2.773,2.873
0.103,3.359,3.462
0.099,3.386,3.485
0.096,3.369,3.465
0.103,3.575,3.679
0.1,3.152,3.252
0.104,3.213,3.317
0.1,3.636,3.735
0.107,3.568,3.676
0.102,3.165,3.267
0.099,3.183,3.283
0.1,3.189,3.289
0.102,3.019,3.121
0.099,3.415,3.514
0.101,3.408,3.51
0.101,3.216,3.317
0.101,3.792,3.893
0.1,3.564,3.665
0.1,3.893,3.993
0.107,3.671,3.779
0.109,3.048,3.157
0.099,2.931,3.03
0.099,3.943,4.043
0.104,3.778,3.882
0.108,2.98,3.087
0.101,3.383,3.484
0.104,2.97,3.073
0.099,2.952,3.051
0.101,3.976,4.077
0.101,2.78,2.881
0.097,3.985,4.082
0.099,3.174,3.274
0.103,3.379,3.482
0.099,3.595,3.694
0.097,3.368,3.465
0.098,3.941,4.04
0.103,3.153,3.256
0.1,3.537,3.637
0.099,3.35,3.449
0.11,3.346,3.456
0.1,3.123,3.222
0.103,2.765,2.868
0.1,3.157,3.257
0.1,3.166,3.266
0.098,3.742,3.84
0.1,2.738,2.838
0.098,3.548,3.647
0.098,2.788,2.886
0.101,3.147,3.248
0.098,3.936,4.034
0.098,3.358,3.456
0.099,2.78,2.879
0.099,3.583,3.682
0.1,3.352,3.451
0.099,3.42,3.519
0.101,3.626,3.727
0.099,3.427,3.526
0.101,3.185,3.286
0.101,3.184,3.285
0.101,3.631,3.732
0.102,3.05,3.153
0.099,2.842,2.941
0.099,3.373,3.472
0.099,4.07,4.169
0.101,3.04,3.141
0.1,3.143,3.243
0.099,3.588,3.687
0.099,3.958,4.057
0.1,2.964,3.063
0.106,3.937,4.043
0.099,3.361,3.46
0.1,2.965,3.065
0.1,3.174,3.274
0.099,3.765,3.864
0.11,2.993,3.103
0.101,3.55,3.65
0.076,2.552,2.628
0.081,2.453,2.534
0.168,2.445,2.613
0.079,2.417,2.496
0.079,2.45,2.529
0.078,2.427,2.506
0.16,2.443,2.603
0.081,2.492,2.573
0.08,2.453,2.533
0.081,2.471,2.552
0.248,2.453,2.701
0.165,2.425,2.589
0.154,2.364,2.517
0.079,2.358,2.438
0.16,2.392,2.552
0.252,2.39,2.642
0.08,2.37,2.45
0.154,2.77,2.924
0.086,2.616,2.702
0.174,2.55,2.724
0.088,2.475,2.563
0.245,2.436,2.681
0.088,2.488,2.576
0.085,2.547,2.632
0.086,2.511,2.597
0.084,2.465,2.548
0.088,2.519,2.607
0.088,2.484,2.572
0.084,2.48,2.564
0.179,2.518,2.697
0.089,2.468,2.556
